,destination,Origin,applied,accepted,Rejected,decisions,Year,Month,Value,deaths
23,France,Afghanistan,164.0,76.0,108.0,184.0,2005.0,December,8.0,1736
24,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,January,149.0,1736
25,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,February,84.0,1736
26,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,March,93.0,1736
27,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,April,127.0,1736
28,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,May,170.0,1736
29,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,June,161.0,1736
30,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,July,103.0,1736
31,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,August,164.0,1736
32,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,September,156.0,1736
33,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,October,192.0,1736
34,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,November,180.0,1736
35,UK,Afghanistan,1773.0,249.0,2471.0,3576.0,2005.0,December,194.0,1736
36,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,January,53.0,1736
37,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,February,46.0,1736
38,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,March,36.0,1736
39,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,April,66.0,1736
40,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,May,72.0,1736
41,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,June,79.0,1736
42,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,July,54.0,1736
43,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,August,40.0,1736
44,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,September,65.0,1736
45,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,October,45.0,1736
46,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,November,58.0,1736
47,Germany,Afghanistan,1194.0,72.0,690.0,1238.0,2005.0,December,71.0,1736
48,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,January,2.0,1736
49,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,March,2.0,1736
50,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,April,2.0,1736
51,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,May,4.0,1736
52,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,June,2.0,1736
53,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,July,1.0,1736
54,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,August,1.0,1736
55,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,September,1.0,1736
56,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,October,3.0,1736
57,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,November,4.0,1736
58,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,December,5.0,1736
59,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,January,4.0,1736
60,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,March,2.0,1736
61,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,April,2.0,1736
62,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,May,1.0,1736
63,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,June,2.0,1736
64,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,July,1.0,1736
65,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,August,2.0,1736
66,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,September,1.0,1736
67,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,October,2.0,1736
68,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,November,1.0,1736
69,USA,Afghanistan,45.0,42.0,39.0,130.0,2005.0,December,2.0,1736
70,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,January,30.0,4980
71,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,February,22.0,4980
72,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,March,14.0,4980
73,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,April,6.0,4980
74,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,May,24.0,4980
75,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,June,5.0,4980
76,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,July,19.0,4980
77,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,August,21.0,4980
78,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,September,28.0,4980
79,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,October,28.0,4980
80,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,November,16.0,4980
81,Canada,Afghanistan,268.0,162.0,12.0,198.0,2006.0,December,16.0,4980
82,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,January,9.0,4980
83,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,February,9.0,4980
84,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,March,4.0,4980
85,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,April,5.0,4980
86,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,May,5.0,4980
87,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,June,4.0,4980
88,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,July,3.0,4980
89,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,August,8.0,4980
90,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,September,8.0,4980
91,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,October,14.0,4980
92,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,November,8.0,4980
93,France,Afghanistan,106.0,45.0,84.0,132.0,2006.0,December,5.0,4980
94,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,January,205.0,4980
95,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,February,200.0,4980
96,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,March,158.0,4980
97,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,April,179.0,4980
98,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,May,247.0,4980
99,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,June,193.0,4980
100,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,July,246.0,4980
101,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,August,226.0,4980
102,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,September,223.0,4980
103,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,October,285.0,4980
104,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,November,273.0,4980
105,UK,Afghanistan,2659.0,197.0,2234.0,3637.0,2006.0,December,213.0,4980
106,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,January,50.0,4980
107,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,February,51.0,4980
108,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,March,64.0,4980
109,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,April,43.0,4980
110,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,May,53.0,4980
111,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,June,29.0,4980
112,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,July,43.0,4980
113,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,August,48.0,4980
114,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,September,36.0,4980
115,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,October,42.0,4980
116,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,November,24.0,4980
117,Germany,Afghanistan,1524.0,81.0,383.0,1512.0,2006.0,December,42.0,4980
118,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,January,1.0,4980
119,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,February,3.0,4980
120,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,April,6.0,4980
121,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,May,3.0,4980
122,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,June,1.0,4980
123,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,July,5.0,4980
124,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,August,4.0,4980
125,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,September,4.0,4980
126,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,October,5.0,4980
127,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,November,6.0,4980
128,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,December,4.0,4980
129,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,January,1.0,4980
130,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,February,2.0,4980
131,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,March,2.0,4980
132,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,April,1.0,4980
133,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,May,2.0,4980
134,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,June,8.0,4980
135,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,August,2.0,4980
136,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,September,1.0,4980
137,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,October,3.0,4980
138,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,November,7.0,4980
139,USA,Afghanistan,66.0,46.0,20.0,99.0,2006.0,December,2.0,4980
140,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,January,48.0,7017
141,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,February,24.0,7017
142,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,March,12.0,7017
143,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,April,20.0,7017
144,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,May,17.0,7017
145,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,June,14.0,7017
146,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,July,14.0,7017
147,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,August,29.0,7017
148,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,September,28.0,7017
149,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,October,23.0,7017
150,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,November,21.0,7017
151,Canada,Afghanistan,308.0,121.0,29.0,176.0,2007.0,December,20.0,7017
152,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,January,7.0,7017
153,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,February,21.0,7017
154,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,March,11.0,7017
155,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,April,7.0,7017
156,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,May,11.0,7017
157,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,June,13.0,7017
158,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,July,17.0,7017
159,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,August,19.0,7017
160,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,September,8.0,7017
161,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,October,29.0,7017
162,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,November,9.0,7017
163,France,Afghanistan,201.0,59.0,82.0,144.0,2007.0,December,32.0,7017
164,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,January,310.0,7017
165,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,February,240.0,7017
166,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,March,306.0,7017
167,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,April,194.0,7017
168,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,May,252.0,7017
169,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,June,210.0,7017
170,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,July,183.0,7017
171,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,August,171.0,7017
172,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,September,202.0,7017
173,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,October,235.0,7017
174,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,November,289.0,7017
175,UK,Afghanistan,2838.0,342.0,2409.0,4156.0,2007.0,December,223.0,7017
176,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,January,21.0,7017
177,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,February,21.0,7017
178,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,March,39.0,7017
179,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,April,24.0,7017
180,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,May,26.0,7017
181,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,June,26.0,7017
182,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,July,26.0,7017
183,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,August,23.0,7017
184,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,September,26.0,7017
185,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,October,33.0,7017
186,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,November,42.0,7017
187,Germany,Afghanistan,574.0,72.0,230.0,720.0,2007.0,December,22.0,7017
188,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,January,6.0,7017
189,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,February,9.0,7017
190,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,March,1.0,7017
191,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,April,6.0,7017
192,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,May,14.0,7017
193,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,June,4.0,7017
194,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,July,5.0,7017
195,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,August,10.0,7017
196,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,September,2.0,7017
197,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,October,6.0,7017
198,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,November,3.0,7017
199,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,December,4.0,7017
200,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,January,3.0,7017
201,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,February,1.0,7017
202,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,March,2.0,7017
203,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,April,3.0,7017
204,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,May,1.0,7017
205,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,June,4.0,7017
206,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,July,2.0,7017
207,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,August,2.0,7017
208,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,September,1.0,7017
209,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,October,6.0,7017
210,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,November,4.0,7017
211,USA,Afghanistan,91.0,61.0,21.0,107.0,2007.0,December,2.0,7017
212,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,January,30.0,5945
213,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,February,31.0,5945
214,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,March,22.0,5945
215,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,April,32.0,5945
216,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,May,29.0,5945
217,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,June,31.0,5945
218,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,July,34.0,5945
219,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,August,24.0,5945
220,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,September,58.0,5945
221,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,October,43.0,5945
222,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,November,40.0,5945
223,Canada,Afghanistan,488.0,230.0,10.0,280.0,2008.0,December,34.0,5945
224,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,January,16.0,5945
225,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,February,12.0,5945
226,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,March,16.0,5945
227,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,April,24.0,5945
228,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,May,14.0,5945
229,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,June,15.0,5945
230,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,July,14.0,5945
231,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,August,24.0,5945
232,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,September,31.0,5945
233,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,October,31.0,5945
234,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,November,26.0,5945
235,France,Afghanistan,281.0,90.0,146.0,250.0,2008.0,December,40.0,5945
236,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,January,299.0,5945
237,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,February,321.0,5945
238,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,March,250.0,5945
239,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,April,267.0,5945
240,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,May,250.0,5945
241,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,June,242.0,5945
242,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,July,379.0,5945
243,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,August,291.0,5945
244,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,September,358.0,5945
245,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,October,407.0,5945
246,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,November,347.0,5945
247,UK,Afghanistan,3724.0,319.0,1478.0,3739.0,2008.0,December,320.0,5945
248,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,January,44.0,5945
249,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,February,52.0,5945
250,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,March,23.0,5945
251,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,April,36.0,5945
252,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,May,31.0,5945
253,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,June,31.0,5945
254,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,July,37.0,5945
255,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,August,56.0,5945
256,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,September,88.0,5945
257,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,October,81.0,5945
258,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,November,76.0,5945
259,Germany,Afghanistan,831.0,82.0,67.0,398.0,2008.0,December,95.0,5945
260,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,January,215.0,5945
261,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,February,105.0,5945
262,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,March,184.0,5945
263,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,April,173.0,5945
264,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,May,215.0,5945
265,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,June,185.0,5945
266,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,July,126.0,5945
267,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,August,214.0,5945
268,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,September,135.0,5945
269,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,October,150.0,5945
270,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,November,165.0,5945
271,Italy,Afghanistan,1732.0,208.0,582.0,1781.0,2008.0,December,138.0,5945
272,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,January,4.0,5945
273,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,February,2.0,5945
274,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,March,6.0,5945
275,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,April,4.0,5945
276,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,May,5.0,5945
277,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,June,1.0,5945
278,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,July,7.0,5945
279,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,August,13.0,5945
280,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,September,4.0,5945
281,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,October,4.0,5945
282,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,November,1.0,5945
283,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,December,2.0,5945
284,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,March,2.0,5945
285,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,May,2.0,5945
286,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,June,2.0,5945
287,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,July,3.0,5945
288,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,August,2.0,5945
289,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,September,3.0,5945
290,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,October,1.0,5945
291,USA,Afghanistan,79.0,78.0,13.0,96.0,2008.0,November,5.0,5945
292,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,January,36.0,6831
293,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,February,17.0,6831
294,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,March,32.0,6831
295,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,April,14.0,6831
296,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,May,32.0,6831
297,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,June,68.0,6831
298,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,July,51.0,6831
299,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,August,37.0,6831
300,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,September,38.0,6831
301,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,October,31.0,6831
302,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,November,25.0,6831
303,Canada,Afghanistan,445.0,275.0,18.0,337.0,2009.0,December,29.0,6831
304,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,January,22.0,6831
305,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,February,29.0,6831
306,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,March,29.0,6831
307,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,April,46.0,6831
308,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,May,54.0,6831
309,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,June,56.0,6831
310,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,July,80.0,6831
311,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,August,43.0,6831
312,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,September,74.0,6831
313,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,October,128.0,6831
314,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,November,54.0,6831
315,France,Afghanistan,715.0,139.0,227.0,394.0,2009.0,December,73.0,6831
316,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,January,312.0,6831
317,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,February,381.0,6831
318,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,March,411.0,6831
319,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,April,262.0,6831
320,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,May,308.0,6831
321,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,June,287.0,6831
322,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,July,286.0,6831
323,UK,Afghanistan,3539.0,550.0,2533.0,5554.0,2009.0,August,283.0,6831
