# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-11-14 15:28:39 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 335612084312902 09FF18
# -----------------------------------------------------------------------------------
#
# Data provided for site 335612084312902
#            TS   parameter     statistic     Description
#        219083       72019     00003     Depth to water level, feet below land surface (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	219083_72019_00003	219083_72019_00003_cd
USGS	335612084312902	2011-04-16		
USGS	335612084312902	2011-04-17		
USGS	335612084312902	2011-04-18		
USGS	335612084312902	2011-04-19		
USGS	335612084312902	2011-04-20		
USGS	335612084312902	2011-04-21		
USGS	335612084312902	2011-04-22		
USGS	335612084312902	2011-04-23		
USGS	335612084312902	2011-04-24		
USGS	335612084312902	2011-04-25		
USGS	335612084312902	2011-04-26		
USGS	335612084312902	2011-04-27		
USGS	335612084312902	2011-04-28		
USGS	335612084312902	2011-04-29		
USGS	335612084312902	2011-04-30		
USGS	335612084312902	2011-05-01		
USGS	335612084312902	2011-05-02		
USGS	335612084312902	2011-05-03		
USGS	335612084312902	2011-05-04		
USGS	335612084312902	2011-05-05		
USGS	335612084312902	2011-05-06		
USGS	335612084312902	2011-05-07		
USGS	335612084312902	2011-05-08		
USGS	335612084312902	2011-05-09		
USGS	335612084312902	2011-05-10		
USGS	335612084312902	2011-05-11		
USGS	335612084312902	2011-05-12		
USGS	335612084312902	2011-05-13		
USGS	335612084312902	2011-05-14		
USGS	335612084312902	2011-05-15		
USGS	335612084312902	2011-05-16		
USGS	335612084312902	2011-05-17		
USGS	335612084312902	2011-05-18		
USGS	335612084312902	2011-05-19		
USGS	335612084312902	2011-05-20	22.03	A
USGS	335612084312902	2011-05-21	22.04	A
USGS	335612084312902	2011-05-22	22.06	A
USGS	335612084312902	2011-05-23	22.07	A
USGS	335612084312902	2011-05-24	22.08	A
USGS	335612084312902	2011-05-25	22.10	A
USGS	335612084312902	2011-05-26	22.08	A
USGS	335612084312902	2011-05-27	21.89	A
USGS	335612084312902	2011-05-28	21.94	A
USGS	335612084312902	2011-05-29	22.00	A
USGS	335612084312902	2011-05-30	22.04	A
USGS	335612084312902	2011-05-31	22.08	A
USGS	335612084312902	2011-06-01	22.10	A
USGS	335612084312902	2011-06-02	22.12	A
USGS	335612084312902	2011-06-03	22.14	A
USGS	335612084312902	2011-06-04	22.15	A
USGS	335612084312902	2011-06-05	22.16	A
USGS	335612084312902	2011-06-06	22.18	A
USGS	335612084312902	2011-06-07	22.19	A
USGS	335612084312902	2011-06-08	22.20	A
USGS	335612084312902	2011-06-09	22.21	A
USGS	335612084312902	2011-06-10	22.22	A
USGS	335612084312902	2011-06-11	22.19	A
USGS	335612084312902	2011-06-12		
USGS	335612084312902	2011-06-13		
USGS	335612084312902	2011-06-14	22.09	A
USGS	335612084312902	2011-06-15	22.11	A
USGS	335612084312902	2011-06-16	21.88	A
USGS	335612084312902	2011-06-17	21.98	A
USGS	335612084312902	2011-06-18	22.02	A
USGS	335612084312902	2011-06-19	22.05	A
USGS	335612084312902	2011-06-20	22.09	A
USGS	335612084312902	2011-06-21	22.14	A
USGS	335612084312902	2011-06-22	22.13	A
USGS	335612084312902	2011-06-23	22.00	A
USGS	335612084312902	2011-06-24	22.03	A
USGS	335612084312902	2011-06-25	22.05	A
USGS	335612084312902	2011-06-26	22.10	A
USGS	335612084312902	2011-06-27	22.13	A
USGS	335612084312902	2011-06-28	22.16	A
USGS	335612084312902	2011-06-29	22.19	A
USGS	335612084312902	2011-06-30	22.22	A
USGS	335612084312902	2011-07-01	22.24	A
USGS	335612084312902	2011-07-02	22.26	A
USGS	335612084312902	2011-07-03	22.28	A
USGS	335612084312902	2011-07-04	22.19	A
USGS	335612084312902	2011-07-05	21.99	A
USGS	335612084312902	2011-07-06	22.06	A
USGS	335612084312902	2011-07-07	22.13	A
USGS	335612084312902	2011-07-08	22.17	A
USGS	335612084312902	2011-07-09	22.20	A
USGS	335612084312902	2011-07-10	22.23	A
USGS	335612084312902	2011-07-11	22.24	A
USGS	335612084312902	2011-07-12	22.26	A
USGS	335612084312902	2011-07-13	22.28	A
USGS	335612084312902	2011-07-14	22.30	A
USGS	335612084312902	2011-07-15	22.30	A
USGS	335612084312902	2011-07-16	22.29	A
USGS	335612084312902	2011-07-17	22.31	A
USGS	335612084312902	2011-07-18	22.33	A
USGS	335612084312902	2011-07-19	22.35	A
USGS	335612084312902	2011-07-20	22.34	A
USGS	335612084312902	2011-07-21	22.32	A
USGS	335612084312902	2011-07-22	22.34	A
USGS	335612084312902	2011-07-23	22.35	A
USGS	335612084312902	2011-07-24	22.37	A
USGS	335612084312902	2011-07-25	22.31	A
USGS	335612084312902	2011-07-26	22.10	A
USGS	335612084312902	2011-07-27	22.18	A
USGS	335612084312902	2011-07-28	22.24	A
USGS	335612084312902	2011-07-29	22.28	A
USGS	335612084312902	2011-07-30	22.31	A
USGS	335612084312902	2011-07-31	22.33	A
USGS	335612084312902	2011-08-01	22.36	A
USGS	335612084312902	2011-08-02	22.38	A
USGS	335612084312902	2011-08-03	22.39	A
USGS	335612084312902	2011-08-04	22.23	A
USGS	335612084312902	2011-08-05	22.11	A
USGS	335612084312902	2011-08-06	22.12	A
USGS	335612084312902	2011-08-07	22.14	A
USGS	335612084312902	2011-08-08	22.17	A
USGS	335612084312902	2011-08-09	22.21	A
USGS	335612084312902	2011-08-10	22.25	A
USGS	335612084312902	2011-08-11	22.29	A
USGS	335612084312902	2011-08-12	22.34	A
USGS	335612084312902	2011-08-13	22.39	A
USGS	335612084312902	2011-08-14	22.41	A
USGS	335612084312902	2011-08-15	22.43	A
USGS	335612084312902	2011-08-16	22.45	A
USGS	335612084312902	2011-08-17	22.46	A
USGS	335612084312902	2011-08-18	22.47	A
USGS	335612084312902	2011-08-19	22.49	A
USGS	335612084312902	2011-08-20	22.48	A
USGS	335612084312902	2011-08-21	22.36	A
USGS	335612084312902	2011-08-22	22.23	A
USGS	335612084312902	2011-08-23	22.23	A
USGS	335612084312902	2011-08-24	22.25	A
USGS	335612084312902	2011-08-25	22.27	A
USGS	335612084312902	2011-08-26	22.30	A
USGS	335612084312902	2011-08-27	22.33	A
USGS	335612084312902	2011-08-28	22.37	A
USGS	335612084312902	2011-08-29	22.40	A
USGS	335612084312902	2011-08-30	22.42	A
USGS	335612084312902	2011-08-31	22.45	A
USGS	335612084312902	2011-09-01	22.48	A
USGS	335612084312902	2011-09-02	22.50	A
USGS	335612084312902	2011-09-03	22.52	A
USGS	335612084312902	2011-09-04	22.52	A
USGS	335612084312902	2011-09-05	22.43	A
USGS	335612084312902	2011-09-06	22.14	A
USGS	335612084312902	2011-09-07	22.14	A
USGS	335612084312902	2011-09-08	22.16	A
USGS	335612084312902	2011-09-09	22.20	A
USGS	335612084312902	2011-09-10	22.23	A
USGS	335612084312902	2011-09-11	22.27	A
USGS	335612084312902	2011-09-12	22.32	A
USGS	335612084312902	2011-09-13	22.35	A
USGS	335612084312902	2011-09-14	22.39	A
USGS	335612084312902	2011-09-15	22.41	A
USGS	335612084312902	2011-09-16	22.43	A
USGS	335612084312902	2011-09-17	22.45	A
USGS	335612084312902	2011-09-18	22.47	A
USGS	335612084312902	2011-09-19	22.50	A
USGS	335612084312902	2011-09-20	22.50	A
USGS	335612084312902	2011-09-21	22.49	A
USGS	335612084312902	2011-09-22	22.50	A
USGS	335612084312902	2011-09-23	22.26	A
USGS	335612084312902	2011-09-24	22.24	A
USGS	335612084312902	2011-09-25	22.27	A
USGS	335612084312902	2011-09-26	22.30	A
USGS	335612084312902	2011-09-27	22.31	A
USGS	335612084312902	2011-09-28	22.33	A
USGS	335612084312902	2011-09-29	22.37	A
USGS	335612084312902	2011-09-30	22.40	A
USGS	335612084312902	2011-10-01	22.43	A
USGS	335612084312902	2011-10-02	22.45	A
USGS	335612084312902	2011-10-03	22.48	A
USGS	335612084312902	2011-10-04	22.50	A
USGS	335612084312902	2011-10-05	22.52	A
USGS	335612084312902	2011-10-06	22.54	A
USGS	335612084312902	2011-10-07	22.55	A
USGS	335612084312902	2011-10-08	22.57	A
USGS	335612084312902	2011-10-09	22.57	A
USGS	335612084312902	2011-10-10	22.55	A
USGS	335612084312902	2011-10-11	22.41	A
USGS	335612084312902	2011-10-12	22.39	A
USGS	335612084312902	2011-10-13	22.39	A
USGS	335612084312902	2011-10-14	22.35	A
USGS	335612084312902	2011-10-15	22.39	A
USGS	335612084312902	2011-10-16	22.42	A
USGS	335612084312902	2011-10-17	22.44	A
USGS	335612084312902	2011-10-18	22.46	A
USGS	335612084312902	2011-10-19	22.33	A
USGS	335612084312902	2011-10-20	22.30	A
USGS	335612084312902	2011-10-21	22.32	A
USGS	335612084312902	2011-10-22	22.36	A
USGS	335612084312902	2011-10-23	22.38	A
USGS	335612084312902	2011-10-24	22.42	A
USGS	335612084312902	2011-10-25	22.45	A
USGS	335612084312902	2011-10-26	22.47	A
USGS	335612084312902	2011-10-27	22.49	A
USGS	335612084312902	2011-10-28	22.49	A
USGS	335612084312902	2011-10-29	22.41	A
USGS	335612084312902	2011-10-30	22.42	A
USGS	335612084312902	2011-10-31	22.44	A
USGS	335612084312902	2011-11-01	22.46	A
USGS	335612084312902	2011-11-02	22.47	A
USGS	335612084312902	2011-11-03	22.45	A
USGS	335612084312902	2011-11-04	22.31	A
USGS	335612084312902	2011-11-05	22.33	A
USGS	335612084312902	2011-11-06	22.35	A
USGS	335612084312902	2011-11-07	22.36	A
USGS	335612084312902	2011-11-08	22.37	A
USGS	335612084312902	2011-11-09	22.39	A
USGS	335612084312902	2011-11-10	22.40	A
USGS	335612084312902	2011-11-11	22.41	A
USGS	335612084312902	2011-11-12	22.43	A
USGS	335612084312902	2011-11-13	22.44	A
USGS	335612084312902	2011-11-14	22.45	A
USGS	335612084312902	2011-11-15	22.44	A
USGS	335612084312902	2011-11-16	22.20	A
USGS	335612084312902	2011-11-17	22.14	A
USGS	335612084312902	2011-11-18	22.20	A
USGS	335612084312902	2011-11-19	22.24	A
USGS	335612084312902	2011-11-20	22.27	A
USGS	335612084312902	2011-11-21	22.28	A
USGS	335612084312902	2011-11-22	22.27	A
USGS	335612084312902	2011-11-23	22.11	A
USGS	335612084312902	2011-11-24	22.14	A
USGS	335612084312902	2011-11-25	22.18	A
USGS	335612084312902	2011-11-26	22.22	A
USGS	335612084312902	2011-11-27	22.25	A
USGS	335612084312902	2011-11-28	22.11	A
USGS	335612084312902	2011-11-29	22.06	A
USGS	335612084312902	2011-11-30	22.11	A
USGS	335612084312902	2011-12-01	22.16	A
USGS	335612084312902	2011-12-02	22.20	A
USGS	335612084312902	2011-12-03	22.24	A
USGS	335612084312902	2011-12-04	22.27	A
USGS	335612084312902	2011-12-05	22.30	A
USGS	335612084312902	2011-12-06	22.30	A
USGS	335612084312902	2011-12-07	22.04	A
USGS	335612084312902	2011-12-08	22.02	A
USGS	335612084312902	2011-12-09	22.08	A
USGS	335612084312902	2011-12-10	22.13	A
USGS	335612084312902	2011-12-11	22.17	A
USGS	335612084312902	2011-12-12	22.20	A
USGS	335612084312902	2011-12-13	22.24	A
USGS	335612084312902	2011-12-14	22.26	A
USGS	335612084312902	2011-12-15	22.29	A
USGS	335612084312902	2011-12-16	22.31	A
USGS	335612084312902	2011-12-17	22.35	A
USGS	335612084312902	2011-12-18	22.37	A
USGS	335612084312902	2011-12-19	22.39	A
USGS	335612084312902	2011-12-20	22.38	A
USGS	335612084312902	2011-12-21	22.26	A
USGS	335612084312902	2011-12-22	22.19	A
USGS	335612084312902	2011-12-23	21.94	A
USGS	335612084312902	2011-12-24	21.97	A
USGS	335612084312902	2011-12-25	21.96	A
USGS	335612084312902	2011-12-26	21.92	A
USGS	335612084312902	2011-12-27	21.78	A
USGS	335612084312902	2011-12-28	21.80	A
USGS	335612084312902	2011-12-29	21.87	A
USGS	335612084312902	2011-12-30	21.93	A
USGS	335612084312902	2011-12-31	21.98	A
USGS	335612084312902	2012-01-01	22.03	A
USGS	335612084312902	2012-01-02	22.12	A
USGS	335612084312902	2012-01-03	22.18	A
USGS	335612084312902	2012-01-04	22.22	A
USGS	335612084312902	2012-01-05	22.25	A
USGS	335612084312902	2012-01-06	22.27	A
USGS	335612084312902	2012-01-07	22.28	A
USGS	335612084312902	2012-01-08	22.12	A
USGS	335612084312902	2012-01-09	22.07	A
USGS	335612084312902	2012-01-10	22.05	A
USGS	335612084312902	2012-01-11	21.98	A
USGS	335612084312902	2012-01-12	22.00	A
USGS	335612084312902	2012-01-13	22.03	A
USGS	335612084312902	2012-01-14	22.05	A
USGS	335612084312902	2012-01-15	22.14	A
USGS	335612084312902	2012-01-16	22.20	A
USGS	335612084312902	2012-01-17	22.22	A
USGS	335612084312902	2012-01-18	22.07	A
USGS	335612084312902	2012-01-19	22.05	A
USGS	335612084312902	2012-01-20	22.03	A
USGS	335612084312902	2012-01-21	21.93	A
USGS	335612084312902	2012-01-22	21.84	A
USGS	335612084312902	2012-01-23	21.74	A
USGS	335612084312902	2012-01-24	21.69	A
USGS	335612084312902	2012-01-25	21.72	A
USGS	335612084312902	2012-01-26	21.74	A
USGS	335612084312902	2012-01-27	21.71	A
USGS	335612084312902	2012-01-28	21.76	A
USGS	335612084312902	2012-01-29	21.79	A
USGS	335612084312902	2012-01-30	21.84	A
USGS	335612084312902	2012-01-31	21.94	A
USGS	335612084312902	2012-02-01	21.99	A
USGS	335612084312902	2012-02-02	21.93	A
USGS	335612084312902	2012-02-03	21.93	A
USGS	335612084312902	2012-02-04	22.00	A
USGS	335612084312902	2012-02-05	21.97	A
USGS	335612084312902	2012-02-06	22.04	A
USGS	335612084312902	2012-02-07	22.09	A
USGS	335612084312902	2012-02-08	22.13	A
USGS	335612084312902	2012-02-09	22.15	A
USGS	335612084312902	2012-02-10	22.16	A
USGS	335612084312902	2012-02-11	22.18	A
USGS	335612084312902	2012-02-12	22.18	A
USGS	335612084312902	2012-02-13	22.19	A
USGS	335612084312902	2012-02-14	22.11	A
USGS	335612084312902	2012-02-15	22.09	A
USGS	335612084312902	2012-02-16	22.05	A
USGS	335612084312902	2012-02-17	21.96	A
USGS	335612084312902	2012-02-18	22.00	A
USGS	335612084312902	2012-02-19	21.89	A
USGS	335612084312902	2012-02-20	21.86	A
USGS	335612084312902	2012-02-21	21.86	A
USGS	335612084312902	2012-02-22	21.94	A
USGS	335612084312902	2012-02-23	22.04	A
USGS	335612084312902	2012-02-24	22.10	A
USGS	335612084312902	2012-02-25	22.14	A
USGS	335612084312902	2012-02-26	22.16	A
USGS	335612084312902	2012-02-27	22.17	A
USGS	335612084312902	2012-02-28	22.18	A
USGS	335612084312902	2012-02-29	22.13	A
USGS	335612084312902	2012-03-01	21.98	A
USGS	335612084312902	2012-03-02	21.92	A
USGS	335612084312902	2012-03-03	21.68	A
USGS	335612084312902	2012-03-04	21.62	A
USGS	335612084312902	2012-03-05	21.66	A
USGS	335612084312902	2012-03-06	21.70	A
USGS	335612084312902	2012-03-07	21.79	A
USGS	335612084312902	2012-03-08	21.90	A
USGS	335612084312902	2012-03-09	21.76	A
USGS	335612084312902	2012-03-10	21.66	A
USGS	335612084312902	2012-03-11	21.66	A
USGS	335612084312902	2012-03-12	21.69	A
USGS	335612084312902	2012-03-13	21.77	A
USGS	335612084312902	2012-03-14	21.77	A
USGS	335612084312902	2012-03-15	21.87	A
USGS	335612084312902	2012-03-16	21.94	A
USGS	335612084312902	2012-03-17	21.99	A
USGS	335612084312902	2012-03-18	22.03	A
USGS	335612084312902	2012-03-19	22.05	A
USGS	335612084312902	2012-03-20	22.07	A
USGS	335612084312902	2012-03-21	22.09	A
USGS	335612084312902	2012-03-22	22.09	A
USGS	335612084312902	2012-03-23	21.89	A
USGS	335612084312902	2012-03-24	21.87	A
USGS	335612084312902	2012-03-25	21.95	A
USGS	335612084312902	2012-03-26	22.03	A
USGS	335612084312902	2012-03-27	22.08	A
USGS	335612084312902	2012-03-28	22.10	A
USGS	335612084312902	2012-03-29	22.12	A
USGS	335612084312902	2012-03-30	22.14	A
USGS	335612084312902	2012-03-31	22.06	A
USGS	335612084312902	2012-04-01	22.10	A
USGS	335612084312902	2012-04-02	22.14	A
USGS	335612084312902	2012-04-03	22.17	A
USGS	335612084312902	2012-04-04	22.17	A
USGS	335612084312902	2012-04-05	21.99	A
USGS	335612084312902	2012-04-06	21.94	A
USGS	335612084312902	2012-04-07	22.03	A
USGS	335612084312902	2012-04-08	22.10	A
USGS	335612084312902	2012-04-09	22.14	A
USGS	335612084312902	2012-04-10	22.17	A
USGS	335612084312902	2012-04-11	22.19	A
USGS	335612084312902	2012-04-12	22.20	A
USGS	335612084312902	2012-04-13	22.21	A
USGS	335612084312902	2012-04-14	22.22	A
USGS	335612084312902	2012-04-15	22.23	A
USGS	335612084312902	2012-04-16	22.24	A
USGS	335612084312902	2012-04-17	22.25	A
USGS	335612084312902	2012-04-18	22.03	A
USGS	335612084312902	2012-04-19	21.88	A
USGS	335612084312902	2012-04-20	21.86	A
USGS	335612084312902	2012-04-21	21.95	A
USGS	335612084312902	2012-04-22	22.07	A
USGS	335612084312902	2012-04-23	22.14	A
USGS	335612084312902	2012-04-24	22.18	A
USGS	335612084312902	2012-04-25	22.21	A
USGS	335612084312902	2012-04-26	22.24	A
USGS	335612084312902	2012-04-27	22.32	A
USGS	335612084312902	2012-04-28	22.37	A
USGS	335612084312902	2012-04-29	22.39	A
USGS	335612084312902	2012-04-30	22.40	A
USGS	335612084312902	2012-05-01	22.41	A
USGS	335612084312902	2012-05-02	22.43	A
USGS	335612084312902	2012-05-03	22.44	A
USGS	335612084312902	2012-05-04	22.34	A
USGS	335612084312902	2012-05-05	22.23	A
USGS	335612084312902	2012-05-06	22.32	A
USGS	335612084312902	2012-05-07	22.18	A
USGS	335612084312902	2012-05-08	22.09	A
USGS	335612084312902	2012-05-09	22.08	A
USGS	335612084312902	2012-05-10	22.17	A
USGS	335612084312902	2012-05-11	22.29	A
USGS	335612084312902	2012-05-12	22.36	A
USGS	335612084312902	2012-05-13	22.07	A
USGS	335612084312902	2012-05-14	21.87	A
USGS	335612084312902	2012-05-15	21.89	A
USGS	335612084312902	2012-05-16	21.94	A
USGS	335612084312902	2012-05-17	22.05	A
USGS	335612084312902	2012-05-18	22.18	A
USGS	335612084312902	2012-05-19	22.27	A
USGS	335612084312902	2012-05-20	22.32	A
USGS	335612084312902	2012-05-21	22.33	A
USGS	335612084312902	2012-05-22	22.29	A
USGS	335612084312902	2012-05-23	22.36	A
USGS	335612084312902	2012-05-24	22.40	A
USGS	335612084312902	2012-05-25	22.43	A
USGS	335612084312902	2012-05-26	22.46	A
USGS	335612084312902	2012-05-27	22.48	A
USGS	335612084312902	2012-05-28	22.49	A
USGS	335612084312902	2012-05-29	22.46	A
USGS	335612084312902	2012-05-30	22.35	A
USGS	335612084312902	2012-05-31	22.37	A
USGS	335612084312902	2012-06-01	22.40	A
USGS	335612084312902	2012-06-02	22.46	A
USGS	335612084312902	2012-06-03	22.50	A
USGS	335612084312902	2012-06-04	22.45	A
USGS	335612084312902	2012-06-05	22.33	A
USGS	335612084312902	2012-06-06	22.29	A
USGS	335612084312902	2012-06-07	22.40	A
USGS	335612084312902	2012-06-08	22.47	A
USGS	335612084312902	2012-06-09	22.52	A
USGS	335612084312902	2012-06-10	22.32	A
USGS	335612084312902	2012-06-11	22.00	A
USGS	335612084312902	2012-06-12	21.95	A
USGS	335612084312902	2012-06-13	22.00	A
USGS	335612084312902	2012-06-14	22.16	A
USGS	335612084312902	2012-06-15	22.29	A
USGS	335612084312902	2012-06-16	22.37	A
USGS	335612084312902	2012-06-17	22.42	A
USGS	335612084312902	2012-06-18	22.47	A
USGS	335612084312902	2012-06-19	22.50	A
USGS	335612084312902	2012-06-20	22.53	A
USGS	335612084312902	2012-06-21	22.55	A
USGS	335612084312902	2012-06-22	22.57	A
